"Map Product","Map Product"
"Map Category","Map Category"
"Connect Ebay Account","Connect Ebay Account"
"Map Order","Map Order"
"Starting Execution","Starting Execution"
"Please don't close or refresh the window while importing product(s).","Please don't close or refresh the window while importing product(s)."
"product(s) to import","product(s) to import"
"No product to import.","No product to import."
"Finsihed Execution.","Finsihed Execution."
"Please don't close or refresh the window while importing order(s).","Please don't close or refresh the window while importing order(s)."
"order(s) to import","order(s) to import"
"No order to import.","No order to import."
"Save Mapping","Save Mapping"
"Store Category","Store Category"
"Import Order From eBay","Import Order From eBay"
"Run Profiler","Run Profiler"
"Import Product From eBay","Import Product From eBay"
"please select category","please select category"
"Are you sure want to delete?","Are you sure want to delete?"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Assign to category","Assign to category"
"Import To eBay","Import To eBay"
"eBay Account Information","eBay Account Information"
"set unique store name for your account","set unique store name for your account"
"Multi-eBay Magento Connect","Multi-eBay Magento Connect"
"Global Sites","Global Sites"
"eBay User Id","eBay User Id"
"eBay Authentication Token","eBay Authentication Token"
"eBay Developer Token","eBay Developer Token"
"eBay Application Id","eBay Application Id"
"eBay Certification Id","eBay Certification Id"
"Mode","Mode"
"Import eBay Categories","Import eBay Categories"
"Returns Policy","Returns Policy"
"Define Return Policy","Define Return Policy"
"Returns within","Returns within"
"Pay By","Pay By"
"Other Information","Other Information"
"Listing Options","Listing Options"
"Listing Duration","Listing Duration"
"Dispatch Options","Dispatch Options"
"Payment Options","Payment Options"
"Paypal Email Address","Paypal Email Address"
"Default Category","Default Category"
"eBay Imported Order Status","eBay Imported Order Status"
"Defaut Product Quantity","Defaut Product Quantity"
"Default Shipping Detail","Default Shipping Detail"
"Shipping Service","Shipping Service"
"Shipping Service Cost","Shipping Service Cost"
"Shipping Service Additional Cost","Shipping Service Additional Cost"
"Shipping Time Min","Shipping Time Min"
"Shipping Time Max","Shipping Time Max"
"Shipping Free","Shipping Free"
"Order Sync Option","Order Sync Option"
"Default store for order sync","Default store for order sync"
"Revise eBay Item Manually From Store","Revise eBay Item Manually From Store"
"Status Of Features","Status Of Features"
"revise ebay item when updated the magento product","revise ebay item when updated the magento product"